chembl_id,name,smiles,formula,mw,chiral_centers,source
CHEMBL382408,PENTAGALLOYL GLUCOSE,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,,,5,ChEMBL
CHEMBL375951,URIDINE DIPHOSPHATE GLUCOSE,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,,11,ChEMBL
CHEMBL497613,FLUDEOXYGLUCOSE-F18,OC[C@H]1O[C@@H](O)[C@H]([18F])[C@@H](O)[C@@H]1O,,,5,ChEMBL
CHEMBL1076707,TETRAGALLOYLGLUCOSE,O=C(OC[C@H]1OC(O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,,,5,ChEMBL
CHEMBL1614854,beta-D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,,,5,ChEMBL
CHEMBL1697725,AUROTHIOGLUCOSE,,,,0,ChEMBL
CHEMBL1873035,LEVOGLUCOSE,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@H]1O,,,5,ChEMBL
CHEMBL1880349,2-DEOXY-D-GLUCOSE,OCC1OC(O)CC(O)C1O,,,4,ChEMBL
CHEMBL2030434,FLUDEOXYGLUCOSE F 18,OC[C@H]1OC(O)[C@H]([18F])[C@@H](O)[C@@H]1O,,,5,ChEMBL
CHEMBL2068864,FLUDEOXYGLUCOSE,OC[C@H]1OC(O)[C@H](F)[C@@H](O)[C@@H]1O,,,5,ChEMBL
CHEMBL2074932,DEOXYGLUCOSE,O=CC[C@@H](O)[C@H](O)[C@H](O)CO,,,3,ChEMBL
CHEMBL2108700,GLUCOSE OXIDASE,,,,0,ChEMBL
CHEMBL4594361,TECHNETIUM TC-99M ETHYLENE-DICYSTEINE-DEOXYGLUCOSE,,,,0,ChEMBL
