cid,name,smiles,formula,mw,chiral_centers,source,chembl_id
5793.0,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C(C1C(C(C(C(O1)O)O)O)O)O,C6H12O6,180.16,5,PubChem,
,PENTAGALLOYL GLUCOSE,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,,,5,ChEMBL,CHEMBL382408
,URIDINE DIPHOSPHATE GLUCOSE,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,,11,ChEMBL,CHEMBL375951
,FLUDEOXYGLUCOSE-F18,OC[C@H]1O[C@@H](O)[C@H]([18F])[C@@H](O)[C@@H]1O,,,5,ChEMBL,CHEMBL497613
,TETRAGALLOYLGLUCOSE,O=C(OC[C@H]1OC(O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,,,5,ChEMBL,CHEMBL1076707
,beta-D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,,,5,ChEMBL,CHEMBL1614854
,AUROTHIOGLUCOSE,,,,0,ChEMBL,CHEMBL1697725
,LEVOGLUCOSE,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@H]1O,,,5,ChEMBL,CHEMBL1873035
,2-DEOXY-D-GLUCOSE,OCC1OC(O)CC(O)C1O,,,4,ChEMBL,CHEMBL1880349
,FLUDEOXYGLUCOSE F 18,OC[C@H]1OC(O)[C@H]([18F])[C@@H](O)[C@@H]1O,,,5,ChEMBL,CHEMBL2030434
,FLUDEOXYGLUCOSE,OC[C@H]1OC(O)[C@H](F)[C@@H](O)[C@@H]1O,,,5,ChEMBL,CHEMBL2068864
,DEOXYGLUCOSE,O=CC[C@@H](O)[C@H](O)[C@H](O)CO,,,3,ChEMBL,CHEMBL2074932
,GLUCOSE OXIDASE,,,,0,ChEMBL,CHEMBL2108700
,TECHNETIUM TC-99M ETHYLENE-DICYSTEINE-DEOXYGLUCOSE,,,,0,ChEMBL,CHEMBL4594361
